#Name,Goethite,Hematite,Kaolinite,Dolomite,Illite,Vermiculite,Montmorillonite,Gypsum,Calcite,Chlorite
Almandine WS478 Garnet s06an14a_b      ,0,0,0,0,0,0,0,0,0,0
Almandine WS478 Garnet s06an14a_cbb    ,0,0,0,0,0,0,0,0,0,0
Almandine WS479 Garnet s06an14a_b      ,0,0,0,0,0,0,0,0,0,0
Almandine WS479 Garnet s06an14a_bbb    ,0,0,0,0,0,0,0,0,0,0
Alunite AL706 Na__ s06an14a_b          ,0,0,0,0,0,0,0,0,0,0
Alunite GDS82 Na82 s06an14a_b          ,0,0,0,0,0,0,0,0,0,0
Alunite GDS82 Na82 s06an14a_bc_        ,0,0,0,0,0,0,0,0,0,0
Alunite GDS82 Na82 s06an14a_b          ,0,0,0,0,0,0,0,0,0,0
Alunite GDS83 Na63 s06an14a_b          ,0,0,0,0,0,0,0,0,0,0
Alunite GDS83 Na63 s06an14a_b          ,0,0,0,0,0,0,0,0,0,0
Alunite GDS83 Na63 s06an14a_bb_        ,0,0,0,0,0,0,0,0,0,0
Alunite GDS84 Na03 s06an14a_a          ,0,0,0,0,0,0,0,0,0,0
Alunite GDS84 Na03 s06an14a_a          ,0,0,0,0,0,0,0,0,0,0
Alunite GDS84 Na03 s06an14a_aa_        ,0,0,0,0,0,0,0,0,0,0
Alunite GDS95 Na Syn (150C) s06an14a_a ,0,0,0,0,0,0,0,0,0,0
Alunite GDS96 K Syn (250C) s06an14a_a  ,0,0,0,0,0,0,0,0,0,0
Alunite GDS97 K Syn (150C) s06an14a_a  ,0,0,0,0,0,0,0,0,0,0
Alunite HS295 s06an14a_a               ,0,0,0,0,0,0,0,0,0,0
Alunite HS295.3B s06an14a_a            ,0,0,0,0,0,0,0,0,0,0
Alunite HS295.3B s06an14a_aaa          ,0,0,0,0,0,0,0,0,0,0
Alunite RES-2 K Syn (450C) s06an14a_a  ,0,0,0,0,0,0,0,0,0,0
Alunite RES-3 Na Syn (450C) s06an14a_a ,0,0,0,0,0,0,0,0,0,0
Alunite RES-4 Na Syn (300C) s06an14a_a ,0,0,0,0,0,0,0,0,0,0
Alunite RES-9 Summitv (400C) s06an14a_b,0,0,0,0,0,0,0,0,0,0
